Date,series ,open,high,low,PREV. CLOSE ,ltp ,close,vwap ,52W H,52W L,VOLUME,VALUE ,No of trades 
2016-04-12,EQ,6099.00,6185.05,6050.55,5870.75,6129.15,6147.80,6116.80,7349.00,4981.00,62801.00,384141003.65,10254.00
2016-04-11,EQ,5980.00,6008.95,5855.40,5975.65,5873.00,5870.75,5883.64,7349.00,4981.00,25180.00,148149960.50,5714.00
2016-04-08,EQ,5924.95,6006.00,5851.00,5888.55,6005.00,5975.65,5941.38,7349.00,4981.00,22133.00,131500670.65,5149.00
2016-04-07,EQ,5799.45,5950.05,5748.00,5724.15,5922.10,5888.55,5845.51,7349.00,4981.00,39466.00,230699042.50,6995.00
2016-04-06,EQ,5738.00,5749.05,5704.00,5738.95,5730.00,5724.15,5725.83,7349.00,4981.00,30696.00,175760206.60,6765.00
2016-04-05,EQ,5632.00,5777.00,5632.00,5683.55,5725.00,5738.95,5709.46,7349.00,4981.00,31231.00,178312218.80,5358.00
2016-04-04,EQ,5630.00,5724.95,5607.00,5638.20,5700.00,5683.55,5671.45,7349.00,4981.00,21694.00,123036422.30,6485.00
2016-04-01,EQ,5690.00,5749.00,5558.05,5757.35,5630.00,5638.20,5615.62,7349.00,4981.00,37393.00,209984844.20,8882.00
2016-03-31,EQ,5445.05,5849.00,5400.00,5479.80,5700.00,5757.35,5637.68,7349.00,4981.00,72171.00,406877349.50,17630.00
2016-03-30,EQ,5354.80,5501.65,5354.80,5335.90,5501.00,5479.80,5439.31,7349.00,4981.00,47816.00,260086131.65,11956.00
2016-03-29,EQ,5340.00,5390.00,5310.00,5353.50,5340.00,5335.90,5354.69,7349.00,4981.00,15640.00,83747290.40,4193.00
2016-03-28,EQ,5299.00,5375.00,5282.55,5253.15,5355.00,5353.50,5323.72,7349.00,4981.00,69661.00,370855369.45,4116.00
2016-03-23,EQ,5311.10,5340.00,5210.00,5260.35,5250.00,5253.15,5276.84,7349.00,4981.00,107792.00,568801557.45,7817.00
2016-03-22,EQ,5250.00,5349.00,5155.00,5231.55,5300.00,5260.35,5216.18,7349.00,4981.00,46192.00,240945831.20,10185.00
2016-03-21,EQ,5200.00,5250.00,5200.00,5186.25,5220.00,5231.55,5227.82,7349.00,4981.00,52834.00,276206384.90,4967.00
2016-03-18,EQ,5097.30,5260.00,5043.00,5096.85,5189.00,5186.25,5141.41,7420.00,4981.00,51696.00,265790397.35,11894.00
2016-03-17,EQ,5040.00,5114.70,5030.05,5011.75,5085.00,5096.85,5090.22,7420.00,4981.00,34979.00,178050681.05,9910.00
2016-03-16,EQ,5054.90,5059.95,5005.00,5053.75,5010.00,5011.75,5012.19,7420.00,4981.00,91850.00,460369567.85,4497.00
2016-03-15,EQ,5117.40,5117.40,5040.80,5103.10,5069.30,5053.75,5054.86,7420.00,4981.00,99413.00,502518446.25,4754.00
2016-03-14,EQ,5173.00,5173.00,5090.00,5163.15,5090.00,5103.10,5107.31,7420.00,4981.00,61213.00,312634055.45,6189.00
2016-03-11,EQ,5189.95,5249.90,5100.00,5177.80,5166.05,5163.15,5171.26,7505.00,4981.00,35312.00,182607436.55,6591.00
2016-03-10,EQ,5223.00,5241.65,5106.35,5209.80,5200.00,5177.80,5151.39,7505.00,4981.00,63711.00,328199953.25,5528.00
2016-03-09,EQ,5275.30,5307.45,5182.00,5320.80,5196.70,5209.80,5219.35,7505.00,4981.00,47123.00,245951580.30,4107.00
2016-03-08,EQ,5300.00,5429.00,5276.10,5285.25,5297.90,5320.80,5359.50,7505.00,4981.00,53547.00,286984981.55,12951.00
2016-03-04,EQ,5218.00,5325.05,5166.00,5217.75,5252.00,5285.25,5262.32,7505.00,4981.00,26291.00,138351697.70,6459.00
2016-03-03,EQ,5110.00,5243.00,5080.00,5078.20,5210.00,5217.75,5190.20,7505.00,4981.00,33110.00,171847683.60,6325.00
2016-03-02,EQ,5080.00,5105.00,5045.00,5052.25,5080.00,5078.20,5073.08,7505.00,4981.00,29138.00,147819458.60,5987.00
2016-03-01,EQ,5050.00,5117.25,5000.55,5008.00,5050.00,5052.25,5054.02,7505.00,4981.00,41530.00,209893643.80,7699.00
2016-02-29,EQ,5144.90,5144.90,4981.00,5111.20,5010.00,5008.00,5012.08,7505.00,4981.00,52942.00,265349294.95,12263.00
2016-02-26,EQ,5190.00,5190.00,5101.00,5142.90,5108.00,5111.20,5115.25,7505.00,5001.05,36011.00,184205443.00,2995.00
2016-02-25,EQ,5199.40,5200.00,5090.95,5199.40,5200.00,5142.90,5137.59,7505.00,5001.05,31388.00,161258614.35,3297.00
2016-02-24,EQ,5185.00,5204.90,5135.00,5192.25,5195.50,5199.40,5190.00,7505.00,5001.05,11843.00,61465228.40,3419.00
2016-02-23,EQ,5309.95,5309.95,5180.00,5279.35,5183.65,5192.25,5205.24,7505.00,5001.05,21387.00,111324443.75,3319.00
2016-02-22,EQ,5208.00,5298.00,5162.15,5209.70,5280.00,5279.35,5276.23,7505.00,5001.05,85293.00,450025502.95,6124.00
2016-02-19,EQ,5206.95,5240.00,5175.10,5182.85,5226.05,5209.70,5202.18,7505.00,5001.05,12939.00,67310968.45,3528.00
2016-02-18,EQ,5095.00,5205.00,5060.00,5072.70,5187.90,5182.85,5161.10,7505.00,5001.05,26633.00,137455663.95,6275.00
2016-02-17,EQ,5090.00,5100.00,5034.00,5049.80,5080.00,5072.70,5070.73,7505.00,5001.05,72280.00,366512361.60,5142.00
2016-02-16,EQ,5115.00,5115.00,5030.00,5057.75,5032.00,5049.80,5076.51,7505.00,5001.05,49811.00,252865826.90,6680.00
2016-02-15,EQ,5058.00,5149.00,5019.95,5056.05,5057.70,5057.75,5067.82,7505.00,5001.05,66272.00,335854545.75,4478.00
2016-02-12,EQ,5230.00,5268.65,5001.05,5217.05,5027.00,5056.05,5084.82,7505.00,5001.05,37439.00,190370483.00,8438.00
